seed,condition,evaluation_split,initial_primary_solve_rate,final_primary_solve_rate,final_overall_solve_rate,runtime_seconds,sft_runtime_seconds,rl_runtime_seconds,final_boundary,title_solved,title_actions
2001,sft,test,0.022222222222222223,0.36666666666666664,0.3626373626373626,4.9044378329999745,4.9044378329999745,0.0,0,True,DDLDRR
2001,sft_plus_rl,test,0.022222222222222223,0.4444444444444444,0.45054945054945056,17.166059291994316,4.9044378329999745,12.261621458994341,2,True,DDLDRR
2002,sft,test,0.022222222222222223,0.4111111111111111,0.4065934065934066,6.170527916998253,6.170527916998253,0.0,0,True,DDLDRR
2002,sft_plus_rl,test,0.022222222222222223,0.5777777777777777,0.5714285714285714,18.999890458988375,6.170527916998253,12.829362541990122,2,True,DDLDRR
2003,sft,test,0.022222222222222223,0.3888888888888889,0.3956043956043956,6.935998291999567,6.935998291999567,0.0,0,True,DDLDRR
2003,sft_plus_rl,test,0.022222222222222223,0.5888888888888889,0.5824175824175825,20.253933125000913,6.935998291999567,13.317934833001345,2,True,DDLDRR
2004,sft,test,0.022222222222222223,0.4,0.3956043956043956,6.295648417013581,6.295648417013581,0.0,0,True,DDLDRR
2004,sft_plus_rl,test,0.022222222222222223,0.4888888888888889,0.4835164835164835,19.565524208999705,6.295648417013581,13.269875791986124,2,True,DDLDRR
2005,sft,test,0.011111111111111112,0.4,0.3956043956043956,6.442489082997781,6.442489082997781,0.0,0,True,DDLDRR
2005,sft_plus_rl,test,0.011111111111111112,0.5,0.5054945054945055,19.081829750008183,6.442489082997781,12.639340667010401,2,True,DDLDRR
